variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags,ins_number,compound_name,nutrient_class,dairy_product_subtype,milling_grade,oil_fraction,protein_fraction,sugar_form,language_tag,f_revised
antioxidant vitamin d,lanolin | fish liver oil,solvent extraction,oil,antioxidant,NULL,extract/oleoresin,NULL,0.82,0.7,0.875,0.82,0.86,0.875,0.806,0.854,3,False,False,,,vitamin_fat_soluble,,,,,,,antioxidant
vapor distilled water,water,distillation,juice,base ingredient,NULL,NULL,NULL,0,0.5,0.12,0,0.5,0.12,0.198,0.198,1,False,False,,,,,,,,,,raw_agricultural_material
reverse osmosis water,water,?reverse osmosis,juice,base ingredient,NULL,NULL,NULL,0,0.5,0.12,0,0.5,0.12,0.198,0.198,1,False,True,,,,,,,,,,raw_agricultural_material
acai berry flavouring,acai,NULL,extract/oleoresin,flavouring agent,NULL,juice,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False,,,,,,,,,,flavouring agent
black truffle extract,truffle,NULL,extract/oleoresin,flavouring agent,solvent extraction,NULL,taste profile / spice,0,0.86,0.675,0.82,0.86,0.675,0.528,0.774,2,True,False,,,,,,,,,,flavouring agent
capsule shell ins 428,beef | pork | fish,NULL,NULL,gelling agent,NULL,gelling agent,NULL,0,0,0.675,0,0,0.675,0.27,0.27,1,False,False,428,,,,,,,,,gelling agent
croscarmellose sodium,wood,NULL,powder,bulking agent,NULL,NULL,stabiliser|anticaking agent,0,0.42,0.375,0,0.42,0.85,0.276,0.466,1,True,False,,,,,,,,,,bulking agent
cultured sweet potato,sweet potato,fermentation,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0.56,0.05,0.12,0.56,0.05,0.12,0.231,0.231,1,False,False,,,,,,,,,,fermentation_agent
enzyme blend digezyme,aspergillus oryzae | rice,NULL,powder,NULL,NULL,NULL,NULL,0,0.42,0,0,0.42,0,0.126,0.126,1,False,False,,,,,,,,,,fermentation_agent
fructooligosaccharide,sugarcane | chicory,NULL,powder,sweetener|bulking agent,NULL,NULL,?prebiotic,0,0.42,0.625,0,0.42,0.625,0.376,0.376,2,False,True,,,,,,,,,,sweetener|bulking agent
stabilizer gellan gum,sphingomonas elodea bacteria,NULL,gum,stabiliser|gelling agent,fermentation,NULL,thickener,0,0,0.675,0.56,0,0.675,0.27,0.438,1,True,False,,,,,,,,,,stabiliser|gelling agent
saturated fatty acids,palm | coconut | milk,NULL,fat fraction,lipid base,NULL,NULL,NULL,0,0.72,0.22,0,0.72,0.22,0.304,0.304,2,False,False,,,,,,,,,,lipid base
shankhapushpi extract,shankhapushpi,solvent extraction,extract/oleoresin,flavouring agent,NULL,NULL,NULL,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False,,,,,,,,,,flavouring agent
hydrogenated table oil,palm | soybean | groundnut,hydrogenation,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0.92,0.7,0.22,0.92,0.7,0.22,0.574,0.574,2,False,False,,,,,,hydrogenated,,,,lipid base
dehydrated carrot bits,carrot,drying,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0.42,0.1,0.12,0.42,0.1,0.12,0.204,0.204,1,False,False,,,,,,,,,,raw_agricultural_material
caramel color ins 150a,sugarcane,NULL,colour,colour,?caramelisation,NULL,NULL,0,0,0.8,0,0,0.8,0.32,0.32,2,False,True,150a,plain caramel,,,,,,,,colour
color caramel ins 150a,sugarcane,NULL,colour,colour,?caramelisation,NULL,NULL,0,0,0.8,0,0,0.8,0.32,0.32,2,False,True,150a,plain caramel,,,,,,,,colour
color paprika ins 160c,paprika,NULL,colour,colour,drying,extract/oleoresin,NULL,0,0,0.8,0.42,0.86,0.8,0.32,0.704,2,True,False,160c,paprika extract,,,,,,,,colour
color turmeric extract,turmeric,solvent extraction,extract/oleoresin,colour,NULL,colour,NULL,0.82,0.86,0.8,0.82,0.86,0.8,0.824,0.824,3,False,False,,,,,,,,,,colour
color fd&c red 40 lake,synthetic,NULL,colour,colour,NULL,NULL,NULL,0,0,0.8,0,0,0.8,0.32,0.32,2,False,False,,,,,,,,,,colour
dehydrated garlic bits,garlic,drying,cut/sliced pieces,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.1,0.18,0.42,0.1,0.675,0.228,0.426,1,True,False,,,,,,,,,,taste profile / spice
organic ginger rhizome,ginger,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice
magnesium bisglycinate,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False,,,mineral_nutrient,,,,,,,NULL
split black gram flour,black gram,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
filtered flax seed oil,flax,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False,,,,,,,,,,lipid base
sodium acetate ins 262,synthetic,NULL,crystalline chemical,preservative,NULL,NULL,acidity regulator,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False,262,sodium acetate,,,,,,,,preservative
stabilizer ins 450 iii,mineral,NULL,crystalline chemical,stabiliser,NULL,NULL,NULL,0,0.98,0.65,0,0.98,0.65,0.554,0.554,2,False,False,450,diphosphates,,,,,,,,stabiliser
raising agent ins 3410,mineral,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False,3410,,,,,,,,,raising agent
raising agent ins 5030,synthetic,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False,5030,,,,,,,,,raising agent
raising agent ins 500i,mineral,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False,500i,sodium carbonate,,,,,,,,raising agent
dried fenugreek leaves,fenugreek,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False,,,,,,,,,,taste profile / spice
stabilizer xanthan gum,xanthomonas campestris bacteria,fermentation,gum,stabiliser|thickener|gelling agent,NULL,powder,NULL,0.56,0,0.675,0.56,0.42,0.675,0.438,0.564,2,False,False,,,,,,,,,,stabiliser|thickener|gelling agent
dried coriander leaves,coriander,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False,,,,,,,,,,taste profile / spice
ground coriander seeds,coriander,milling,powder,taste profile / spice,NULL,NULL,flavouring agent,0.28,0.42,0.18,0.28,0.42,0.675,0.282,0.48,1,True,False,,,,,,,,,,taste profile / spice
pasteurised toned milk,milk,pasteurization,NULL,base ingredient,NULL,NULL,NULL,0.48,0,0.12,0.48,0,0.12,0.192,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
standardized milk curd,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fresh_curd,,,,,,processed_ingredient
active lactic cultures,milk,fermentation,NULL,base ingredient,NULL,concentrate,NULL,0.56,0,0.12,0.56,0.4,0.12,0.216,0.336,1,True,False,,,,,,,,,,fermentation_agent
antifoaming agent dmps,synthetic,antifoaming agent,crystalline chemical,antifoaming agent,NULL,NULL,NULL,0,0.98,0.9,0,0.98,0.9,0.654,0.654,2,False,False,,,,,,,,,,antifoaming agent
potassium ferrocyanide,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False,,,,,,,,,,anticaking agent
bifidobacterium lactis,milk,fermentation,NULL,base ingredient,NULL,concentrate,?probiotic,0.56,0,0.12,0.56,0.4,0.12,0.216,0.336,1,True,True,,,,,,,,,,fermentation_agent
marinated paneer dices,milk,NULL,dense block,base ingredient,NULL,cut/sliced pieces,NULL,0,0.38,0.12,0,0.38,0.12,0.162,0.162,1,False,False,,,,paneer,,,,,,processed_ingredient
cacao magro in polvere,cocoa,NULL,powder,base ingredient,NULL,skim/defatted meal,NULL,0,0.42,0.12,0,0.55,0.12,0.174,0.213,1,False,False,,,,,,,,,,processed_ingredient
cacao maigre en poudre,cocoa,NULL,powder,base ingredient,NULL,skim/defatted meal,NULL,0,0.42,0.12,0,0.55,0.12,0.174,0.213,1,False,False,,,,,,,,,,processed_ingredient
condensed skimmed milk,milk,NULL,concentrate,base ingredient,NULL,NULL,NULL,0,0.4,0.12,0,0.4,0.12,0.168,0.168,1,False,False,,,,,,,,,,processed_ingredient
refined cottonseed oil,cottonseed,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False,,,,,,refined,,,,lipid base
wheat improver ins 510,mineral,NULL,crystalline chemical,flour treatment agent,NULL,NULL,NULL,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False,510,,,,,,,,,flour treatment agent
wheat improver ins 923,synthetic,NULL,crystalline chemical,flour treatment agent,NULL,NULL,NULL,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False,923,,,,,,,,,flour treatment agent
glazing agent carnauba,carnauba palm,NULL,NULL,glazing agent,NULL,extract/oleoresin,NULL,0,0,0,0,0.86,0,0,0.258,1,False,False,,,,,,,,,,glazing agent
kiwi juice concentrate,kiwi,NULL,juice|concentrate,flavouring agent,NULL,NULL,NULL,0,0.5,0.675,0,0.5,0.675,0.42,0.42,2,False,False,,,,,,,,,,flavouring agent
emulsifier soy ins 322,soybean,solvent extraction,emulsifier powder,emulsifier,NULL,extract/oleoresin,NULL,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False,322,lecithins,,,,,,,,emulsifier
onion flavouring agent,onion,NULL,NULL,flavouring agent,drying,powder,taste profile / spice,0,0,0.675,0.42,0.42,0.675,0.27,0.522,1,True,False,,,,,,,,,,flavouring agent
proabsor8 blend papain,papaya,NULL,NULL,NULL,NULL,extract/oleoresin,?digestive aid,0,0,0,0,0.86,0,0,0.258,1,False,True,,,,,,,,,,NULL
gelling agent ins 4401,apple | citrus,NULL,NULL,gelling agent,NULL,powder,thickener,0,0,0.675,0,0.42,0.675,0.27,0.396,1,True,False,4401,,,,,,,,,gelling agent
pomegranate flavouring,pomegranate,NULL,NULL,flavouring agent,NULL,juice|extract/oleoresin,taste profile / spice,0,0,0.675,0,0.86,0.675,0.27,0.528,1,True,False,,,,,,,,,,flavouring agent
potato flakes potatoes,potato,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False,,,,,,,,,,raw_agricultural_material
reducing agent ins 223,synthetic,NULL,crystalline chemical,preservative,NULL,NULL,antioxidant,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False,223,sodium metabisulphite,,,,,,,,preservative
wheat improver ins 923,synthetic,NULL,crystalline chemical,flour treatment agent,NULL,NULL,NULL,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False,923,,,,,,,,,flour treatment agent
shatavari root extract,shatavari,solvent extraction,extract/oleoresin,base ingredient,NULL,NULL,NULL,0.82,0.86,0.12,0.82,0.86,0.12,0.552,0.552,2,False,False,,,,,,,,,,raw_agricultural_material
enzyme b-galactosidase,synthetic,NULL,powder,base ingredient,NULL,NULL,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,fermentation_agent
b-galactosidase enzyme,synthetic,NULL,powder,base ingredient,NULL,NULL,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,fermentation_agent
ultrasorb tech lactase,synthetic,NULL,powder,base ingredient,NULL,NULL,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,fermentation_agent
cysteine hydrochloride,synthetic,NULL,crystalline chemical,flour treatment agent,NULL,NULL,NULL,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False,,,amino_acid,,,,,,,flour treatment agent
distillate of gaozaban,gaozaban,distillation,extract/oleoresin,flavouring agent,solvent extraction,essential oil,taste profile / spice,0,0.86,0.675,0.82,0.9,0.675,0.528,0.786,2,True,False,,,,,,,,,,flavouring agent
fructo-oligosaccharide,sugarcane,NULL,powder,sweetener|bulking agent,NULL,NULL,?prebiotic,0,0.42,0.625,0,0.42,0.625,0.376,0.376,2,False,True,,,,,,,,,,sweetener|bulking agent
fructo-oligosaccharide,sugarcane,NULL,powder,sweetener|bulking agent,NULL,NULL,?prebiotic,0,0.42,0.625,0,0.42,0.625,0.376,0.376,2,False,True,,,,,,,,,,sweetener|bulking agent
fructo oligosaccharide,sugarcane,NULL,powder,sweetener|bulking agent,NULL,NULL,?prebiotic,0,0.42,0.625,0,0.42,0.625,0.376,0.376,2,False,True,,,,,,,,,,sweetener|bulking agent
fructooligosaccharides,sugarcane,NULL,powder,sweetener|bulking agent,NULL,NULL,?prebiotic,0,0.42,0.625,0,0.42,0.625,0.376,0.376,2,False,True,,,,,,,,,,sweetener|bulking agent
l-lysine hydrochloride,synthetic,NULL,crystalline chemical,flour treatment agent,NULL,NULL,NULL,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False,,,amino_acid,,,,,,,flour treatment agent
packaging gas nitrogen,synthetic,NULL,NULL,packaging gas,NULL,NULL,NULL,0,0,0.95,0,0,0.95,0.38,0.38,2,False,False,,,,,,,,,,packaging gas
vegetable oil palmolein,palm,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,palmolein,,,,lipid base
centre fractionated fat,palm,fractionation,fat fraction,lipid base,NULL,NULL,NULL,0.76,0.72,0.22,0.76,0.72,0.22,0.532,0.532,2,False,False,,,,,,fractionated,,,,lipid base
carrot flavouring agent,carrot,NULL,NULL,flavouring agent,NULL,juice|extract/oleoresin,taste profile / spice,0,0,0.675,0,0.86,0.675,0.27,0.528,1,True,False,,,,,,,,,,flavouring agent
modified starch tapioca,tapioca,acetylation,modified starch powder,thickener,NULL,starch flour,stabiliser,0.94,0.96,0.615,0.94,0.96,0.65,0.816,0.83,3,False,False,,,,,,,,,,thickener
starch acetate ins 1420,tapioca | corn,acetylation,modified starch powder,thickener,NULL,starch flour,stabiliser,0.94,0.96,0.615,0.94,0.96,0.65,0.816,0.83,3,False,False,1420,starch acetate,,,,,,,,thickener
mixed fruits flavouring,apple | mango | guava,NULL,NULL,flavouring agent,NULL,extract/oleoresin,taste profile / spice,0,0,0.675,0,0.86,0.675,0.27,0.528,1,True,False,,,,,,,,,,flavouring agent
vegetables garlic paste,garlic,NULL,pulp/puree,taste profile / spice,NULL,NULL,flavouring agent,0,0.25,0.18,0,0.25,0.675,0.147,0.345,1,True,False,,,,,,,,,,taste profile / spice
mango puree concentrate,mango,concentration,concentrate|pulp/puree,base ingredient,NULL,NULL,NULL,0.48,0.4,0.12,0.48,0.4,0.12,0.312,0.312,2,False,False,,,,,,,,,,raw_agricultural_material
concentrated mango pulp,mango,concentration,concentrate|pulp/puree,base ingredient,NULL,NULL,NULL,0.48,0.4,0.12,0.48,0.4,0.12,0.312,0.312,2,False,False,,,,,,,,,,raw_agricultural_material
vegetable oil rice bran,rice,NULL,oil,lipid base,cold pressing|solvent extraction|refining,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
steviol glycoside reb-a,stevia,solvent extraction,extract/oleoresin,sweetener,NULL,crystalline chemical,NULL,0.82,0.86,0.625,0.82,0.98,0.625,0.754,0.79,3,False,False,,,,,,,,,,sweetener
strawberry fruit powder,strawberry,?spray drying|drying,powder,flavouring agent,NULL,NULL,sweetener,0.42,0.42,0.675,0.42,0.42,0.675,0.522,0.522,2,False,True,,,,,,,,,,flavouring agent
vegetable oil sunflower,sunflower,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
leavening agent ins 341,mineral,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False,341,calcium phosphate,,,,,,,,raising agent
leavening agent ins 450,mineral,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False,450,diphosphates,,,,,,,,raising agent
sodium tripolyphosphate,mineral,NULL,crystalline chemical,sequestrant,NULL,NULL,NULL,0,0.98,0.91,0,0.98,0.91,0.658,0.658,2,False,False,,,,,,,,,,sequestrant
monopotassium phosphate,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False,,,,,,,,,,acidity regulator
leavening agent ins 500,mineral,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False,500,sodium carbonates,,,,,,,,raising agent
raising agent ins 500 i,mineral,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False,500,sodium carbonates,,,,,,,,raising agent
dehydrated orange juice,orange,drying,juice,flavouring agent,NULL,powder,NULL,0.42,0.5,0.675,0.42,0.5,0.675,0.546,0.546,2,False,False,,,,,,,,,,flavouring agent
reconstituted skim milk,milk,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
whey protein hydrolsate,milk,?hydrolysis,protein concentrate,base ingredient,NULL,whey powder,NULL,0.6,0.74,0.12,0.6,0.74,0.12,0.45,0.45,2,False,True,,,,,,,whey_hydrolysate,,,processed_ingredient
apple juice concentrate,apple,concentration,concentrate|juice,flavouring agent,NULL,NULL,NULL,0.48,0.5,0.675,0.48,0.5,0.675,0.564,0.564,2,False,False,,,,,,,,,,flavouring agent
organic rama tulsi leaf,tulsi,NULL,whole/fresh pieces,flavouring agent,NULL,cut/sliced pieces,taste profile / spice,0,0.05,0.675,0,0.1,0.675,0.285,0.3,1,True,False,,,,,,,,,,flavouring agent
organic vana tulsi leaf,tulsi,NULL,whole/fresh pieces,flavouring agent,NULL,cut/sliced pieces,taste profile / spice,0,0.05,0.675,0,0.1,0.675,0.285,0.3,1,True,False,,,,,,,,,,flavouring agent
bifidobacterium bifidum,synthetic,NULL,NULL,probiotic,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,False,False,,,,,,,,,,probiotic
black pepper flavouring,black pepper,NULL,extract/oleoresin,flavouring agent,drying,powder,taste profile / spice,0,0.86,0.675,0.42,0.86,0.675,0.528,0.654,2,False,False,,,,,,,,,,flavouring agent
butterscotch flavouring,synthetic,synthetic flavors,NULL,flavouring agent,NULL,NULL,taste profile / spice,0.99,0,0.675,0.99,0,0.675,0.567,0.567,2,False,False,,,,,,,,,,flavouring agent
cocoa butter equivalent,palm | shea | sal,fractionation|interesterification,fat fraction,lipid base,NULL,NULL,NULL,0.91,0.72,0.22,0.91,0.72,0.22,0.577,0.577,2,False,False,,,,,,,,,,lipid base
refined cotton seed oil,cottonseed,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False,,,,,,refined,,,,lipid base
cake emulsifier ins 491,palm,NULL,emulsifier powder,emulsifier,NULL,NULL,NULL,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False,491,sorbitan monostearate,,,,,,,,emulsifier
salt substitute ins 508,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,508,potassium chloride,,,,,,,,raw_agricultural_material
flour treatment ins 510,synthetic,NULL,NULL,flour treatment agent,NULL,NULL,NULL,0,0,0.93,0,0,0.93,0.372,0.372,2,False,False,510,,,,,,,,,flour treatment agent
flour improver ins 1100,aspergillus oryzae,NULL,NULL,flour treatment agent,fermentation,NULL,NULL,0,0,0.93,0.56,0,0.93,0.372,0.54,2,False,False,1100,alpha-amylase,,,,,,,,flour treatment agent
wheat improver ins 1100,aspergillus oryzae,NULL,NULL,flour treatment agent,fermentation,NULL,NULL,0,0,0.93,0.56,0,0.93,0.372,0.54,2,False,False,1100,alpha-amylase,,,,,,,,flour treatment agent
flour improver ins 1101,aspergillus oryzae,NULL,NULL,flour treatment agent,flour treatment,powder,NULL,0,0,0.93,0,0.42,0.93,0.372,0.498,2,False,False,1101,proteases,,,,,,,,flour treatment agent
flour improver ins 1104,aspergillus oryzae,NULL,NULL,flour treatment agent,flour treatment,powder,NULL,0,0,0.93,0,0.42,0.93,0.372,0.498,2,False,False,1104,lipases,,,,,,,,flour treatment agent
flour treatment ins 923,synthetic,NULL,crystalline chemical,flour treatment agent,bleaching agent|flour treatment,powder,bleaching agent,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False,923,,,,,,,,,flour treatment agent
glycerol ester of rosin,pine,NULL,resin,glazing agent,esterification,NULL,emulsifier,0,0.86,0,0.91,0.86,0.825,0.258,0.861,1,True,False,,,,,,,,,,glazing agent
guava puree concentrate,guava,concentration,pulp/puree|concentrate,base ingredient,NULL,NULL,sweetener,0.48,0.4,0.12,0.48,0.4,0.625,0.312,0.514,2,False,False,,,,,,,,,,raw_agricultural_material
lactobacillus rhamnosus,synthetic,fermentation,NULL,probiotic,NULL,powder,NULL,0.56,0,0,0.56,0.42,0,0.168,0.294,1,False,False,,,,,,,,,,probiotic
emulsifier soy lecithin,soybean,solvent extraction,emulsifier powder,emulsifier,NULL,extract/oleoresin,NULL,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False,,,,,,,,,,emulsifier
lemon juice concentrate,lemon,concentration,juice|concentrate,flavouring agent,NULL,NULL,acidity regulator,0.48,0.5,0.675,0.48,0.5,0.86,0.564,0.638,2,False,False,,,,,,,,,,flavouring agent
organic lemongrass leaf,lemongrass,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False,,,,,,,,,,taste profile / spice
onion powder flavouring,onion,drying|milling,powder,flavouring agent,NULL,NULL,taste profile / spice,0.42,0.42,0.675,0.42,0.42,0.675,0.522,0.522,2,False,False,,,,,,,,,,flavouring agent
pomegranate seed powder,pomegranate,drying|milling,powder,base ingredient,NULL,NULL,taste profile / spice,0.42,0.42,0.12,0.42,0.42,0.18,0.3,0.324,2,False,False,,,,,,,,,,processed_ingredient
bleaching agent ins 223,synthetic,bleaching,crystalline chemical,bleaching agent,NULL,powder,preservative,0,0.98,0.92,0,0.98,0.92,0.662,0.662,2,False,False,223,sodium metabisulphite,,,,,,,,bleaching agent
flour treatment ins 923,synthetic,NULL,crystalline chemical,flour treatment agent,bleaching agent|flour treatment,powder,bleaching agent,0,0.98,0.93,0,0.98,0.93,0.666,0.666,2,False,False,923,,,,,,,,,flour treatment agent
uv treated and ozonized,SKIP,?ozonization,NULL,preservative,NULL,NULL,NULL,0,0,0.885,0,0,0.885,0.354,0.354,2,False,True,,,,,,,,,,preservative
black truffle seasoning,truffle,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False,,,,,,,,,,taste profile / spice
food grade fish gelatin,fish,NULL,protein isolate,gelling agent,?hydrolysis,NULL,thickener,0,0.78,0.675,0.6,0.78,0.675,0.504,0.684,2,False,True,,,,,,,,,,gelling agent
edible sodium caseinate,milk,NULL,protein isolate,base ingredient,NULL,powder,emulsifier,0,0.78,0.12,0,0.78,0.825,0.282,0.564,1,True,False,,,,,,,casein,,,processed_ingredient
hpmc vegetarian capsule,wood,NULL,NULL,NULL,NULL,NULL,thickener|gelling agent,0,0,0,0,0,0.675,0,0.27,1,False,False,,,,,,,,,,NULL
cotton candy flavouring,synthetic,NULL,NULL,flavouring agent,NULL,powder,sweetener,0,0,0.675,0,0.42,0.675,0.27,0.396,1,True,False,,,,,,,,,,flavouring agent
ferric ammonium citrate,synthetic,NULL,crystalline chemical,anticaking agent,NULL,NULL,colour,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False,,,,,,,,,,anticaking agent
fructo-oligosaccharides,sugarcane | beet,NULL,powder,sweetener|bulking agent,NULL,NULL,?prebiotic,0,0.42,0.625,0,0.42,0.625,0.376,0.376,2,False,True,,,,,,,,,,sweetener|bulking agent
omega concentrate blend,fish,concentration,oil|concentrate,lipid base,solvent extraction,NULL,NULL,0.48,0.7,0.22,0.82,0.7,0.22,0.442,0.544,2,False,False,,,,,,,,,,lipid base
sodium starch glycolate,potato,NULL,modified starch powder,thickener,NULL,NULL,stabiliser,0,0.96,0.615,0,0.96,0.65,0.534,0.548,2,False,False,,,,,,,,,,thickener
krishnalavana black salt,mineral,NULL,crystalline chemical,taste profile / spice,NULL,NULL,flavouring agent,0,0.98,0.18,0,0.98,0.675,0.366,0.564,2,False,False,,,,,,,,,,taste profile / spice
modified starch ins 1404,tapioca,acetylation,modified starch powder,thickener,NULL,starch flour,stabiliser,0.94,0.96,0.615,0.94,0.96,0.65,0.816,0.83,3,False,False,1404,oxidised starch,,,,,,,,thickener
modified starch ins 1420,tapioca,acetylation,modified starch powder,thickener,NULL,starch flour,stabiliser,0.94,0.96,0.615,0.94,0.96,0.65,0.816,0.83,3,False,False,1420,starch acetate,,,,,,,,thickener
modified starch ins 1440,corn | tapioca | potato,acetylation,modified starch powder,thickener,NULL,starch flour,stabiliser,0.94,0.96,0.615,0.94,0.96,0.65,0.816,0.83,3,False,False,1440,hydroxypropyl starch,,,,,,,,thickener
modified starch ins 1442,corn | tapioca | potato,acetylation,modified starch powder,thickener,NULL,starch flour,stabiliser,0.94,0.96,0.615,0.94,0.96,0.65,0.816,0.83,3,False,False,1442,hydroxypropyl distarch phosphate,,,,,,,,thickener
pteroylmonoglutamic acid,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False,,,,,,,,,,NULL
dehydrated garlic powder,garlic,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False,,,,,,,,,,taste profile / spice
spice oleoresin gingerol,ginger,solvent extraction,oleoresin,taste profile / spice,NULL,extract/oleoresin,flavouring agent,0.82,0.88,0.18,0.82,0.88,0.675,0.582,0.78,2,True,False,,,,,,,,,,taste profile / spice
masala flavouring ginger,ginger,NULL,NULL,flavouring agent,NULL,NULL,taste profile / spice,0,0,0.675,0,0,0.675,0.27,0.27,1,False,False,,,,,,,,,,flavouring agent
high fructose corn syrup,corn,NULL,syrup,sweetener,NULL,concentrate|juice,NULL,0,0.4,0.625,0,0.5,0.625,0.37,0.4,2,False,False,,,,,,,,,,sweetener
anticaking agent ins 470,palm | soybean | sunflower,NULL,crystalline chemical,anticaking agent,NULL,emulsifier powder,emulsifier,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False,470,,,,,,,,,anticaking agent
anticaking agent ins 504,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False,504,magnesium carbonate,,,,,,,,anticaking agent
